clubName,leagueName,countryName,clubLogo,countryFlag
Çaykur Rizespor,Turkish Süper Lig,Turkey,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Çaykur+Rizespor.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Turkey.png
Querétaro,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Querétaro.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
FC Sion,Swiss Super League,Switzerland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Sion.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Switzerland.png
Club Atlético Aldosivi,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+Atlético+Aldosivi.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
FC Admira Wacker Mödling,Austrian Football Bundesliga,Austria,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Admira+Wacker+Mödling.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Austria.png
Jiangsu Suning FC,Chinese Super League,China PR,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Jiangsu+Suning+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/China+PR.png
FC Krasnodar,Russian Premier League,Russia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Krasnodar.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Russia.png
Mjøndalen IF,Norwegian Eliteserien,Norway,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Mjøndalen+IF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Norway.png
Yokohama FC,Japanese J. League Division 1,Japan,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Yokohama+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Japan.png
Western United FC,Australian Hyundai A-League,Australia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Western+United+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Australia.png
Górnik Zabrze,Polish T-Mobile Ekstraklasa,Poland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Górnik+Zabrze.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Poland.png
IF Elfsborg,Swedish Allsvenskan,Sweden,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/IF+Elfsborg.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Sweden.png
Chamois Niortais Football Club,French Ligue 2,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Chamois+Niortais+Football+Club.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
FC Lausanne-Sport,Swiss Super League,Switzerland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Lausanne-Sport.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Switzerland.png
KAS Eupen,Belgian Jupiler Pro League,Belgium,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/KAS+Eupen.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Belgium.png
SD Ponferradina,Spanish Segunda División,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/SD+Ponferradina.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Shimizu S-Pulse,Japanese J. League Division 1,Japan,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Shimizu+S-Pulse.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Japan.png
FSV Zwickau,German 3. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FSV+Zwickau.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Zagłębie Lubin,Polish T-Mobile Ekstraklasa,Poland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Zagłębie+Lubin.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Poland.png
Gazişehir Gaziantep F.K.,Turkish Süper Lig,Turkey,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Gazişehir+Gaziantep+F.K..png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Turkey.png
Orlando Pirates,South African Premier Division,South Africa,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Orlando+Pirates.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/South+Africa.png
Śląsk Wrocław,Polish T-Mobile Ekstraklasa,Poland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Śląsk+Wrocław.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Poland.png
Ecuador,,Ecuador,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Ecuador.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Ecuador.png
Rodez Aveyron Football,French Ligue 2,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Rodez+Aveyron+Football.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Club Atlético Tigre,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+Atlético+Tigre.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
Odense Boldklub,Danish Superliga,Denmark,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Odense+Boldklub.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Denmark.png
Vasco da Gama,Campeonato Brasileiro Série A,Brazil,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Vasco+da+Gama.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Brazil.png
New England Revolution,USA Major League Soccer,United States,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/New+England+Revolution.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/United+States.png
Strømsgodset IF,Norwegian Eliteserien,Norway,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Strømsgodset+IF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Norway.png
